business_id,scenario_id,description,impact_revenue,impact_profit,notes
UAE_001,SCEN_UAE_001_A,+25% Ad Spend Growth Vector,18.5,14.2,Assumes constant lead CAC efficiency.
UAE_001,SCEN_UAE_001_B,Premium Price Adjustment (+10%),12.0,22.0,Assumes price elasticity of -0.30.
UAE_002,SCEN_UAE_002_A,+25% Ad Spend Growth Vector,18.5,14.2,Assumes constant lead CAC efficiency.
UAE_002,SCEN_UAE_002_B,Premium Price Adjustment (+10%),12.0,22.0,Assumes price elasticity of -0.30.
UAE_003,SCEN_UAE_003_A,+25% Ad Spend Growth Vector,18.5,14.2,Assumes constant lead CAC efficiency.
UAE_003,SCEN_UAE_003_B,Premium Price Adjustment (+10%),12.0,22.0,Assumes price elasticity of -0.30.
UAE_004,SCEN_UAE_004_A,+25% Ad Spend Growth Vector,18.5,14.2,Assumes constant lead CAC efficiency.
UAE_004,SCEN_UAE_004_B,Premium Price Adjustment (+10%),12.0,22.0,Assumes price elasticity of -0.30.
UAE_005,SCEN_UAE_005_A,+25% Ad Spend Growth Vector,18.5,14.2,Assumes constant lead CAC efficiency.
UAE_005,SCEN_UAE_005_B,Premium Price Adjustment (+10%),12.0,22.0,Assumes price elasticity of -0.30.
UAE_006,SCEN_UAE_006_A,+25% Ad Spend Growth Vector,18.5,14.2,Assumes constant lead CAC efficiency.
UAE_006,SCEN_UAE_006_B,Premium Price Adjustment (+10%),12.0,22.0,Assumes price elasticity of -0.30.
UAE_007,SCEN_UAE_007_A,+25% Ad Spend Growth Vector,18.5,14.2,Assumes constant lead CAC efficiency.
UAE_007,SCEN_UAE_007_B,Premium Price Adjustment (+10%),12.0,22.0,Assumes price elasticity of -0.30.
UAE_008,SCEN_UAE_008_A,+25% Ad Spend Growth Vector,18.5,14.2,Assumes constant lead CAC efficiency.
UAE_008,SCEN_UAE_008_B,Premium Price Adjustment (+10%),12.0,22.0,Assumes price elasticity of -0.30.
UAE_009,SCEN_UAE_009_A,+25% Ad Spend Growth Vector,18.5,14.2,Assumes constant lead CAC efficiency.
