month,revenue,expenses,profit,leads,customers,marketing_spend
2024-01,14500,8000,6500,65,12,1200
2024-02,15200,8200,7000,70,14,1250
2024-03,15800,8300,7500,75,15,1300
2024-04,16400,8500,7900,78,16,1350
2024-05,17000,8700,8300,82,17,1400
2024-06,17800,9000,8800,88,19,1500
2024-07,17500,8900,8600,85,18,1450
2024-08,18400,9200,9200,92,20,1550
2024-09,19000,9400,9600,96,21,1600
2024-10,19800,9700,10100,102,23,1700
2024-11,20800,10000,10800,110,25,1800
2024-12,22000,10500,11500,120,28,2000
2025-01,21500,10300,11200,115,27,1900
2025-02,22500,10600,11900,122,29,2050
2025-03,23800,11000,12800,130,31,2150
2025-04,24800,11300,13500,138,33,2250
2025-05,26000,11700,14300,145,36,2400
2025-06,27500,12200,15300,155,39,2550
